Title,Price,Type,Location,Bath(s),Area,Purpose,Bedroom(s),Added,URL
1 Kanal Double Storey House For Sale In IEP Engineers Town Block A3 6 Master Bedrooms Prime Location,6.3 Crore,House,"IEP Engineers Town, Lahore, Punjab",7,1 Kanal,For Sale,6,2 hours ago,https://www.zameen.com/Property/iep_engineers_town_sector_a_iep_engineers_town_-_block_a3_1_kanal_double_storey_house_for_sale_in_iep_engineers_town_block_a3_6_master_bedrooms_prime_location-53251487-3888-1.html
KANAL FULLY FURNISHED TOP VARIENT Modern Design Bungalow Available For Sale In DHA Phase 6 Lahore,9.35 Crore,House,"DHA Defence, Lahore, Punjab",6,1 Kanal,For Sale,5,2 hours ago,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_l_kanal_fully_furnished_top_varient_modern_design_bungalow_available_for_sale_in_dha_phase_6_lahore-52082141-1620-1.html
OPF Housing Scheme 1 Kanal House Up For sale,7.35 Crore,House,"OPF Housing Scheme, Lahore, Punjab",5,1 Kanal,For Sale,5,2 hours ago,https://www.zameen.com/Property/lahore_opf_housing_scheme_opf_housing_scheme_1_kanal_house_up_for_sale-53251383-637-1.html
Prime Location 1125 Square Feet House In Al-Raheem Garden - Phase 4 Is Best Option,1.32 Crore,House,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 hours ago,https://www.zameen.com/Property/gt_road_al-raheem_garden_-_phase_4_prime_location_1125_square_feet_house_in_al-raheem_garden_-_phase_4_is_best_option-53250665-8444-1.html
Luxurious 1 Kanal House For Sale Your Dream Home Awaits!,8 Crore,House,"DHA Defence, Lahore, Punjab",6,1 Kanal,For Sale,5,3 hours ago,https://www.zameen.com/Property/dha_defence_dha_phase_6_luxurious_1_kanal_house_for_sale_your_dream_home_awaits-53237360-1448-1.html
"Jasmine Block 10 Marla House For Sale - LDA Approved Nearby School, Mosque And All Commercial",2.75 Crore,House,"Bahria Town, Lahore, Punjab",6,10 Marla,For Sale,5,3 hours ago,https://www.zameen.com/Property/bahria_town_sector_c_bahria_town_-_jasmine_block_jasmine_block_10_marla_house_for_sale_-_lda_approved_nearby_school_mosque_and_all_commercial-51503108-1786-1.html
1 Kanal Modern Designed Luxury Bungalow for Sale At Prime Location In DHA Phase 7.,7.95 Crore,House,"DHA Defence, Lahore, Punjab",6,1 Kanal,For Sale,5,3 hours ago,https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_t_1_kanal_modern_designed_luxury_bungalow_for_sale_at_prime_location_in_dha_phase_7-53199629-1627-1.html
One Kanal Used Modern Design Most Beautiful Fully Furnished Bungalow For Sale At Prime Location Of DHA Lahore Near To Park & Commercial Market,6.85 Crore,House,"DHA Defence, Lahore, Punjab",6,1 Kanal,For Sale,5,4 hours ago,https://www.zameen.com/Property/dha_phase_2_dha_phase_2_-_block_s_one_kanal_used_modern_design_most_beautiful_fully_furnished_bungalow_for_sale_at_prime_location_of_dha_lahore_near_to_park_commercial_market-51637063-1572-1.html
KANAL FULLY FURNISHED TOP VARIENT Modern Design Bungalow Available For Sale In DHA Phase 6 Lahore,9.35 Crore,House,"DHA Defence, Lahore, Punjab",6,1 Kanal,For Sale,5,2 hours ago,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_l_kanal_fully_furnished_top_varient_modern_design_bungalow_available_for_sale_in_dha_phase_6_lahore-52082141-1620-1.html
OPF Housing Scheme 1 Kanal House Up For sale,7.35 Crore,House,"OPF Housing Scheme, Lahore, Punjab",5,1 Kanal,For Sale,5,2 hours ago,https://www.zameen.com/Property/lahore_opf_housing_scheme_opf_housing_scheme_1_kanal_house_up_for_sale-53251383-637-1.html
Owner Built House With Large Basement,5.95 Crore,House,"Cavalry Extension, Lahore, Punjab",6,10 Marla,For Sale,5,3 hours ago,https://www.zameen.com/Property/lahore_cavalry_extension_owner_built_house_with_large_basement-53223685-15484-1.html
A Prime Location 1 Kanal House Has Landed On Market In DHA Phase 6 Of Lahore,13.5 Crore,House,"DHA Defence, Lahore, Punjab",6,1 Kanal,For Sale,5,3 hours ago,https://www.zameen.com/Property/dha_defence_dha_phase_6_a_prime_location_1_kanal_house_has_landed_on_market_in_dha_phase_6_of_lahore-53239586-1448-1.html
1 BED APARTMENT FOR SALE AT LAWRENCE ROAD,86 Lakh,Flat,"Lawrence Road, Lahore, Punjab",1,2.6 Marla,For Sale,1,3 hours ago,https://www.zameen.com/Property/lahore_lawrence_road_1_bed_apartment_for_sale_at_lawrence_road-53244019-8288-1.html
